ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000060718	1301	COL11A1	collagen type XI alpha 1 chain
ENSG00000136883	113220	KIF12	kinesin family member 12
ENSG00000174827	5174	PDZK1	PDZ domain containing 1
ENSG00000137872	80031	SEMA6D	semaphorin 6D
ENSG00000135063	9413	ENTREP1	endosomal transmembrane epsin interactor 1
ENSG00000180264	347088	ADGRD2	adhesion G protein-coupled receptor D2
ENSG00000115593	150572	SMYD1	SET and MYND domain containing 1
ENSG00000163879	7802	DNALI1	dynein axonemal light intermediate chain 1
ENSG00000134533	85004	RERG	RAS like estrogen regulated growth inhibitor
ENSG00000130045	158046	NXNL2	nucleoredoxin like 2
ENSG00000164309	202333	CMYA5	cardiomyopathy associated 5
ENSG00000170271	10826	FAXDC2	fatty acid hydroxylase domain containing 2
ENSG00000007216	9058	SLC13A2	solute carrier family 13 member 2
ENSG00000136158	10253	SPRY2	sprouty RTK signaling antagonist 2
ENSG00000037042	27175	TUBG2	tubulin gamma 2
ENSG00000169515	83987	CCDC8	coiled-coil domain containing 8
ENSG00000213366	2946	GSTM2	glutathione S-transferase mu 2
ENSG00000286214	NA	NA	NA
ENSG00000170962	80310	PDGFD	platelet derived growth factor D
ENSG00000153246	22925	PLA2R1	phospholipase A2 receptor 1
ENSG00000137225	11131	CAPN11	calpain 11
ENSG00000164056	10252	SPRY1	sprouty RTK signaling antagonist 1
ENSG00000119950	4601	MXI1	MAX interactor 1, dimerization protein
ENSG00000101955	8406	SRPX	sushi repeat containing protein X-linked
ENSG00000163884	28999	KLF15	KLF transcription factor 15
ENSG00000150281	1489	CTF1	cardiotrophin 1
ENSG00000130032	79057	PRRG3	proline rich and Gla domain 3
ENSG00000110195	2348	FOLR1	folate receptor alpha
ENSG00000100276	10633	RASL10A	RAS like family 10 member A
ENSG00000106004	3202	HOXA5	homeobox A5
ENSG00000203727	389432	SAMD5	sterile alpha motif domain containing 5
ENSG00000177098	6330	SCN4B	sodium voltage-gated channel beta subunit 4
ENSG00000290541	54055	CYP4F29P	cytochrome P450 family 4 subfamily F member 29, pseudogene
ENSG00000225362	196993	CT62	cancer/testis associated 62
