	featureCounts on dataset 196 and 292: Counts	featureCounts on dataset 196 and 296: Counts	featureCounts on dataset 196 and 300: Counts	featureCounts on dataset 196 and 304: Counts	featureCounts on dataset 196 and 290: Counts	featureCounts on dataset 196 and 294: Counts	featureCounts on dataset 196 and 298: Counts	featureCounts on dataset 196 and 302: Counts
ENSG00000290825.1	0	0	0	0	0	0	0	0
ENSG00000223972.6	0	0	0	0	0	0	0	0
ENSG00000227232.5	15.7632072705884	15.5189757232614	24.5960607693591	14.8511199946416	26.7724917472762	13.9561783004645	4.49900894682808	23.6561222382814
ENSG00000278267.1	2.74142735140667	5.81961589622304	5.85620494508551	4.95037333154721	9.20304403812618	3.72164754679053	0	9.01185609077388
ENSG00000243485.5	0	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000290826.1	0	0	0	0	0	0	0	0
ENSG00000240361.3	0	0	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0	0	0
ENSG00000238009.6	0	0	0	0	0	0	0	0
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	0.685356837851668	0	0	0	0	0	0	2.25296402269347
ENSG00000268903.1	20.56070513555	9.69935982703841	9.36992791213681	7.92059733047554	6.69312293681904	23.2602971674408	20.9953750851977	66.4624386694573
ENSG00000269981.1	13.0217799191817	11.6392317924461	0	12.8709706620227	1.67328073420476	15.8170020738597	19.495705436255	25.9090862609749
ENSG00000239906.1	0	0	0	0	0	0	0	0
ENSG00000241860.7	2.056070513555	0	0	0	4.1832018355119	0	0	1.12648201134673
ENSG00000222623.1	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000279928.2	4.79749786496168	0	0	0	7.52976330392142	0	0	0
ENSG00000279457.4	130.903156029669	168.768860990468	147.576364616155	81.1861226373743	78.6441945076237	106.06695508353	50.9887680640515	56.3241005673367
ENSG00000273874.1	0	0	0	0	0	0	0	0
ENSG00000228463.10	0	2.90980794811152	15.2261328572223	2.97022399892833	0.83664036710238	0.930411886697632	1.49966964894269	5.63241005673367
ENSG00000286448.1	0	0	1.1712409890171	0	0	0	0	0
ENSG00000236679.2	0	0	1.1712409890171	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0
ENSG00000290385.1	10.280352567775	3.87974393081536	0	1.98014933261888	5.01984220261428	7.44329509358106	2.99933929788538	3.3794460340402
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0	0	0
ENSG00000237094.13	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0.930411886697632	0	0
ENSG00000278757.1	0	0	0	0	0	0	0	0
ENSG00000230021.10	6.16821154066501	9.69935982703841	5.85620494508551	3.96029866523777	6.69312293681904	18.6082377339526	13.4970268404842	20.2766762042412
ENSG00000235146.2	0	0	0	0	0	0	0	0
ENSG00000225972.1	1.37071367570334	1.93987196540768	18.7398558242736	16.8312693272605	7.52976330392142	7.44329509358106	11.9973571915415	75.4742947602312
ENSG00000225630.1	2955.94404165424	2421.93014881149	4291.42698375866	2360.33800448171	3474.56744457618	2083.192214316	4932.41347537251	2688.91256108466
ENSG00000237973.1	798.440716097193	1180.41209095057	1167.72726605005	920.769439667781	756.322891860551	1002.05360197335	2030.55270466841	1045.37530652977
ENSG00000278791.1	0	0	0	0	0	0	0	0
ENSG00000229344.1	1.37071367570334	0	3.5137229670513	5.94044799785665	1.67328073420476	0	1.49966964894269	7.88537407942714
ENSG00000240409.1	0	0	0	0	0	0	0	0
ENSG00000248527.1	8821.22785998882	18505.4086140066	14265.7152462283	10303.7070522824	6010.4243972635	14574.9022051184	16005.9741631654	10712.8439279074
ENSG00000198744.5	4.79749786496168	9.69935982703841	19.9110968132907	18.8114186598794	6.69312293681904	12.0953545270692	23.9947143830831	12.3913021248141
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0	0	0
ENSG00000229376.3	0.685356837851668	0	0	0	9.20304403812618	0.930411886697632	0	3.3794460340402
